"2,093,876"
"2,088,849"
"1,800,977"
"1,276,106"
"1,033,701"
"841,080"
"572,034"
"569,847"
"567,233"
"549,393"
"509,590"
"458,918"
"437,033"
"403,262"
"382,069"
"354,864"
"296,851"
"295,414"
"287,723"
"219,420"
"177,422"
"159,985"
"129,079"
"92,887"
"80,608"
"79,990"
"71,105"
"52,799"
"48,541"
"41,799"
"30,443"


